Instance, Algorithm, RandSeed, Duration, Optima
1.txt, HEA, 22, 0.616, 0
1.txt, HEA, 23, 0.175, 0
1.txt, HEA, 24, 0.45, 0
1.txt, HEA, 25, 0.213, 0
1.txt, HEA, 26, 0.258, 0
1.txt, HEA, 27, 0.377, 0
1.txt, HEA, 28, 0.149, 0
1.txt, HEA, 29, 0.886, 0
1.txt, HEA, 30, 0.701, 0
2.txt, HEA, 1, 28.021, 0
2.txt, HEA, 2, 9.001, 0
2.txt, HEA, 3, 191.802, 0
2.txt, HEA, 4, 64.165, 0
2.txt, HEA, 5, 61.262, 0
2.txt, HEA, 6, 599.901, 2
2.txt, HEA, 7, 95.11, 0
2.txt, HEA, 8, 22.406, 0
2.txt, HEA, 9, 107.682, 0
2.txt, HEA, 10, 14.075, 0
2.txt, HEA, 11, 123.521, 0
2.txt, HEA, 12, 173.947, 0
2.txt, HEA, 13, 74.906, 0
2.txt, HEA, 14, 599.903, 2
2.txt, HEA, 15, 103.581, 0
2.txt, HEA, 16, 40.249, 0
2.txt, HEA, 17, 38.507, 0
2.txt, HEA, 18, 599.901, 2
2.txt, HEA, 19, 5.842, 0
2.txt, HEA, 20, 22.391, 0
2.txt, HEA, 21, 29.147, 0
2.txt, HEA, 22, 181.829, 0
2.txt, HEA, 23, 64.689, 0
2.txt, HEA, 24, 27.535, 0
2.txt, HEA, 25, 6.928, 0
2.txt, HEA, 26, 5.245, 0
2.txt, HEA, 27, 5.617, 0
2.txt, HEA, 28, 17.63, 0
2.txt, HEA, 29, 38.672, 0
2.txt, HEA, 30, 599.902, 2
3.txt, HEA, 1, 0.034, 0
3.txt, HEA, 2, 0.029, 0
3.txt, HEA, 3, 0.029, 0
3.txt, HEA, 4, 0.028, 0
3.txt, HEA, 5, 0.027, 0
3.txt, HEA, 6, 0.028, 0
3.txt, HEA, 7, 0.026, 0
3.txt, HEA, 8, 0.025, 0
3.txt, HEA, 9, 0.031, 0
3.txt, HEA, 10, 0.03, 0
3.txt, HEA, 11, 0.027, 0
3.txt, HEA, 12, 0.029, 0
3.txt, HEA, 13, 0.028, 0
3.txt, HEA, 14, 0.024, 0
3.txt, HEA, 15, 0.024, 0
3.txt, HEA, 16, 0.028, 0
3.txt, HEA, 17, 0.033, 0
3.txt, HEA, 18, 0.025, 0
3.txt, HEA, 19, 0.026, 0
3.txt, HEA, 20, 0.028, 0
3.txt, HEA, 21, 0.025, 0
3.txt, HEA, 22, 0.025, 0
3.txt, HEA, 23, 0.026, 0
3.txt, HEA, 24, 0.027, 0
3.txt, HEA, 25, 0.028, 0
3.txt, HEA, 26, 0.024, 0
3.txt, HEA, 27, 0.024, 0
3.txt, HEA, 28, 0.03, 0
3.txt, HEA, 29, 0.032, 0
3.txt, HEA, 30, 0.032, 0
4.txt, HEA, 1, 0.421, 0
4.txt, HEA, 2, 0.444, 0
4.txt, HEA, 3, 0.454, 0
4.txt, HEA, 4, 0.406, 0
4.txt, HEA, 5, 0.456, 0
4.txt, HEA, 6, 0.442, 0
4.txt, HEA, 7, 0.429, 0
4.txt, HEA, 8, 0.423, 0
4.txt, HEA, 9, 0.451, 0
4.txt, HEA, 10, 0.414, 0
4.txt, HEA, 11, 0.44, 0
4.txt, HEA, 12, 0.411, 0
4.txt, HEA, 13, 0.41, 0
4.txt, HEA, 14, 0.433, 0
4.txt, HEA, 15, 0.43, 0
4.txt, HEA, 16, 0.456, 0
4.txt, HEA, 17, 0.451, 0
4.txt, HEA, 18, 0.419, 0
4.txt, HEA, 19, 0.43, 0
4.txt, HEA, 20, 0.43, 0
4.txt, HEA, 21, 0.427, 0
4.txt, HEA, 22, 0.445, 0
4.txt, HEA, 23, 0.412, 0
4.txt, HEA, 24, 0.45, 0
4.txt, HEA, 25, 0.441, 0
4.txt, HEA, 26, 0.441, 0
4.txt, HEA, 27, 0.433, 0
4.txt, HEA, 28, 0.45, 0
4.txt, HEA, 29, 0.434, 0
4.txt, HEA, 30, 0.458, 0
5.txt, HEA, 1, 0.343, 0
5.txt, HEA, 2, 0.338, 0
5.txt, HEA, 3, 0.327, 0
5.txt, HEA, 4, 0.351, 0
5.txt, HEA, 5, 0.351, 0
5.txt, HEA, 6, 0.346, 0
5.txt, HEA, 7, 0.339, 0
5.txt, HEA, 8, 0.339, 0
5.txt, HEA, 9, 0.333, 0
5.txt, HEA, 10, 0.363, 0
5.txt, HEA, 11, 0.333, 0
5.txt, HEA, 12, 0.344, 0
5.txt, HEA, 13, 0.357, 0
5.txt, HEA, 14, 0.344, 0
5.txt, HEA, 15, 0.322, 0
5.txt, HEA, 16, 0.344, 0
5.txt, HEA, 17, 0.328, 0
5.txt, HEA, 18, 0.339, 0
5.txt, HEA, 19, 0.319, 0
5.txt, HEA, 20, 0.328, 0
5.txt, HEA, 21, 0.335, 0
5.txt, HEA, 22, 0.367, 0
5.txt, HEA, 23, 0.337, 0
5.txt, HEA, 24, 0.347, 0
5.txt, HEA, 25, 0.337, 0
5.txt, HEA, 26, 0.328, 0
5.txt, HEA, 27, 0.34, 0
5.txt, HEA, 28, 0.353, 0
5.txt, HEA, 29, 0.329, 0
5.txt, HEA, 30, 0.384, 0
6.txt, HEA, 1, 0.282, 0
6.txt, HEA, 2, 0.254, 0
6.txt, HEA, 3, 0.273, 0
6.txt, HEA, 4, 0.276, 0
6.txt, HEA, 5, 0.272, 0
6.txt, HEA, 6, 0.276, 0
6.txt, HEA, 7, 0.275, 0
6.txt, HEA, 8, 0.294, 0
6.txt, HEA, 9, 0.257, 0
6.txt, HEA, 10, 0.319, 0
6.txt, HEA, 11, 0.279, 0
6.txt, HEA, 12, 0.271, 0
6.txt, HEA, 13, 0.3, 0
6.txt, HEA, 14, 0.27, 0
6.txt, HEA, 15, 0.288, 0
6.txt, HEA, 16, 0.244, 0
6.txt, HEA, 17, 0.258, 0
6.txt, HEA, 18, 0.266, 0
6.txt, HEA, 19, 0.275, 0
6.txt, HEA, 20, 0.276, 0
6.txt, HEA, 21, 0.262, 0
6.txt, HEA, 22, 0.297, 0
6.txt, HEA, 23, 0.258, 0
6.txt, HEA, 24, 0.277, 0
6.txt, HEA, 25, 0.28, 0
6.txt, HEA, 26, 0.287, 0
6.txt, HEA, 27, 0.294, 0
6.txt, HEA, 28, 0.265, 0
6.txt, HEA, 29, 0.254, 0
6.txt, HEA, 30, 0.258, 0
7.txt, HEA, 1, 2.755, 0
7.txt, HEA, 2, 0.264, 0
7.txt, HEA, 3, 0.962, 0
7.txt, HEA, 4, 0.42, 0
7.txt, HEA, 5, 0.741, 0
7.txt, HEA, 6, 0.674, 0
7.txt, HEA, 7, 0.684, 0
7.txt, HEA, 8, 0.394, 0
7.txt, HEA, 9, 0.396, 0
7.txt, HEA, 10, 0.562, 0
7.txt, HEA, 11, 1.707, 0
7.txt, HEA, 12, 1.143, 0
7.txt, HEA, 13, 0.379, 0
7.txt, HEA, 14, 1.698, 0
7.txt, HEA, 15, 0.408, 0
7.txt, HEA, 16, 0.374, 0
7.txt, HEA, 17, 0.858, 0
7.txt, HEA, 18, 0.455, 0
7.txt, HEA, 19, 0.418, 0
7.txt, HEA, 20, 0.955, 0
7.txt, HEA, 21, 1.03, 0
7.txt, HEA, 22, 0.697, 0
7.txt, HEA, 23, 1.759, 0
7.txt, HEA, 24, 1.085, 0
7.txt, HEA, 25, 0.732, 0
7.txt, HEA, 26, 2.301, 0
7.txt, HEA, 27, 0.322, 0
7.txt, HEA, 28, 1.776, 0
7.txt, HEA, 29, 0.62, 0
7.txt, HEA, 30, 0.401, 0
8.txt, HEA, 1, 250.048, 0
8.txt, HEA, 2, 26.085, 0
8.txt, HEA, 3, 599.901, 2
8.txt, HEA, 4, 180.217, 0
8.txt, HEA, 5, 42.361, 0
8.txt, HEA, 6, 67.981, 0
8.txt, HEA, 7, 599.901, 2
8.txt, HEA, 8, 5.074, 0
8.txt, HEA, 9, 427.471, 0
8.txt, HEA, 10, 144.326, 0
8.txt, HEA, 11, 19.184, 0
8.txt, HEA, 12, 599.901, 2
8.txt, HEA, 13, 38.079, 0
8.txt, HEA, 14, 494.742, 0
8.txt, HEA, 15, 7.891, 0
8.txt, HEA, 16, 33.829, 0
8.txt, HEA, 17, 35.99, 0
8.txt, HEA, 18, 44.384, 0
8.txt, HEA, 19, 224.728, 0
8.txt, HEA, 20, 25.667, 0
8.txt, HEA, 21, 223.354, 0
8.txt, HEA, 22, 599.903, 2
8.txt, HEA, 23, 34.562, 0
8.txt, HEA, 24, 24.971, 0
8.txt, HEA, 25, 11.887, 0
8.txt, HEA, 26, 104.486, 0
8.txt, HEA, 27, 108.691, 0
8.txt, HEA, 28, 5.61, 0
8.txt, HEA, 29, 203.894, 0
8.txt, HEA, 30, 18.49, 0
9.txt, HEA, 1, 0.118, 0
9.txt, HEA, 2, 0.14, 0
9.txt, HEA, 3, 0.094, 0
9.txt, HEA, 4, 0.144, 0
9.txt, HEA, 5, 0.14, 0
9.txt, HEA, 6, 0.113, 0
9.txt, HEA, 7, 0.117, 0
9.txt, HEA, 8, 0.153, 0
9.txt, HEA, 9, 0.146, 0
9.txt, HEA, 10, 0.14, 0
9.txt, HEA, 11, 0.107, 0
9.txt, HEA, 12, 0.12, 0
9.txt, HEA, 13, 0.147, 0
9.txt, HEA, 14, 0.167, 0
9.txt, HEA, 15, 0.166, 0
9.txt, HEA, 16, 0.104, 0
9.txt, HEA, 17, 0.129, 0
